opponent,games,wins,draws,losses,win_rate,draw_rate,loss_rate
BaseAgent,100,92,8,0,0.92,0.08,0
CoacAI,100,100,0,0,1,0,0
Mayari,100,100,0,0,1,0,0
WorkerRushAI,100,100,0,0,1,0,0
PassiveAI,100,100,0,0,1,0,0
LightRushAI,100,100,0,0,1,0,0
RandomAI,100,100,0,0,1,0,0
RandomBiasedAI,100,98,2,0,0.98,0.02,0
Rojo,100,100,0,0,1,0,0
MixedBot,100,59,24,17,0.59,0.24,0.17
Izanagi,100,68,29,3,0.68,0.29,0.03
Tiamat,100,99,0,1,0.99,0,0.01
Droplet,100,66,20,14,0.66,0.2,0.14
GuidedRojoA3N,100,84,16,0,0.84,0.16,0
NaiveMCTSAI,100,2,97,1,0.02,0.97,0.01
overall,1500,1268,196,36,0.845,0.131,0.184
